,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,PPP,Final score
135,Lesotho,Loti,LSL,2521.530663,1094.1,2.1457854966180885,0.4339031113340857,2.267873796243423
149,Mozambique,Metical,MZN,1347.720024,491.8,-1.2248408259787609,0.3649125866219229,2.26099028230977
130,Kenya,Kenyan Shilling,KES,5211.170533,2081.8,0.25638058611034864,0.3994879819834904,2.253729557483125
61,Bolivia (Plurinational State of),Boliviano,BOB,8846.081965,3345.2,-0.7381079148869653,0.37815611625977064,2.2523871540546794
168,Republic of Moldova,Moldovan Leu,MDL,15390.46583,5230.7,-2.488871073122982,0.3398662560170214,2.242314795709986
162,Paraguay,Guarani,PYG,15037.18964,5891.5,-0.28165012876695994,0.39179528495990956,2.2406699732524302
197,Uganda,Uganda Shilling,UGX,2467.899337,883.9,-1.8145429532652957,0.3581588546777911,2.2345431511087654
51,Benin,CFA Franc BCEAO,XOF,3649.04065,1319.2,-1.7543949518373292,0.3615196777816109,2.2271554626531493
164,Philippines,Philippine Peso,PHP,8892.789346,3460.5,-0.7757768152480383,0.3891354967894907,2.2121418304527385
156,North Macedonia,Denar,MKD,18222.2861,6694.6,-1.7042149995723659,0.36738529750117355,2.2096903881958423
195,U.R. of Tanzania: Mainland,Tanzanian Shilling,TZS,2836.242432,1099.3,-0.951418230003291,0.38759028057584605,2.2033249684978298
141,Malawi,Kwacha,MWK,1638.152251,634.8,-1.0217873022975803,0.3875097687730125,2.1978974096698236
63,Botswana,Pula,BWP,16304.15336,6805.2,0.20660253821021698,0.4173905783231666,2.1966808389846006
47,Bangladesh,Taka,BDT,6493.809393,2457.9,-1.4834418976495638,0.3784989443406659,2.189548426529359
52,Burkina Faso,CFA Franc BCEAO,XOF,2394.705365,893.1,-1.7543949518373292,0.3729477592747616,2.1847752248231997
55,Mali,CFA Franc BCEAO,XOF,2329.706181,873.8,-1.7543949518373292,0.3750687563634875,2.177193793834292
144,Mauritania,Ouguiya,MRU,5830.817088,2166.0,-1.9194528322602993,0.3714745236062531,2.1745991448176314
109,Fiji,Fiji Dollar,FJD,11380.5695,4646.6,-0.7036586503751784,0.40829239696660174,2.157467745468673
