Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita
Gambia,Dalasi,GMD,2646,772.2
Georgia,Lari,GEL,15486.66,5023.3
Germany,Euro,EUR,53179.65,51203.6
Ghana,Cedi,GHS,5435.24,2363.3
Gibraltar,Gibraltar pound,GIP,31363.80736,92843
Greece,Euro,EUR,29548.04,20192.6
Greenland,Danish Krone,DKK,15037.84954,54571.2
Grenada,East Caribbean Dollar,XCD,8223.3,9010.6
Guatemala,Quetzal,GTQ,9806.82822,5025.5
Guinea,Guinea Franc,GNF,2900.668958,1189.2
Guinea-Bissau,CFA Franc BCEAO,XOF,2011.94848,795.1
Guyana,Guyana Dollar,GYD,24086.90092,9998.5
Haiti,Gourde,HTG,3153.12702,1829.6
Honduras,Lempira,HNL,6121.565844,2771.7
Hungary,Forint,EUR,36752.4965,18728.1
Iceland,Iceland Krona,ISK,57611.59178,68727.6
India,Indian Rupee,INR,7241.98423,2256.6
Indonesia,Rupiah,IDR,13027.30061,4332.7
Iran (Islamic Republic of),Iranian Rial,IRR,16484.07536,4091.2
Iraq,Iraqi Dinar,IQD,9846.0415,4775.4
Ireland,Euro,EUR,106351.3735,100172.1
Israel,New Israeli Sheqel,ILS,43721.62304,52170.7
Italy,Euro,EUR,45902.23562,35657.5
Jamaica,Jamaican Dollar,JMD,10542.73779,5183.6
Japan,Yen,JPY,42940.40525,39312.7
Jordan,Jordanian Dinar,JOD,10132.50388,4103.3
Kazakhstan,Tenge,KZT,28684.89806,10373.8
Kenya,Kenyan Shilling,KES,5211.170533,2081.8
Kiribati,Australian Dollar,AUD,2128.076638,1606.5
Kosovo,Euro,EUR,13055.90078,5269.8
Kuwait,Kuwaiti Dinar,KWD,43922.63,24300.3
Kyrgyzstan,Som,KGS,5289.687125,1276.7
Lao People's DR,Kip,LAK,8620.647618,2535.6
Latvia,Euro,EUR,34444.31209,21148.2
Lebanon,Lebanese Pound,LBP,14256.68971,4136.1
Lesotho,Loti,LSL,2521.530663,1094.1
Liberia,Liberian Dollar,LRD,1563.552927,675.7
Libya,Libyan Dinar,LYD,24130.82983,6357.2
Liechtenstein,Swiss Franc,CHF,139100,157755
Lithuania,Euro,EUR,42581.26696,23723.3
Luxembourg,Euro,EUR,134544.5291,133490.1
Madagascar,Malagasy Ariary,MGA,1607.935225,500.5
Malawi,Kwacha,MWK,1638.152251,634.8
Malaysia,Malaysian Ringgit,MYR,28929.4742,11109.3
Maldives,Rufiyaa,MVR,20615.37308,10366.3
Mali,CFA Franc BCEAO,XOF,2329.706181,873.8
Malta,Euro,EUR,48581.45094,33486.7
Marshall Islands,US Dollar,USD,6549.621884,6172.1
Mauritania,Ouguiya,MRU,5830.817088,2166
Mauritius,Mauritius Rupee,MUR,23035.283,9106.2
Mexico,Mexican Peso,MXN,20277.17677,10045.7
Micronesia (FS of),US Dollar,USD,3642.095394,3571.3
Monaco,Euro,EUR,166909.97,234315.5
Mongolia,Tugrik,MNT,12818.87945,4566.1
Montenegro,Euro,EUR,23284.56728,9465.7
Morocco,Moroccan Dirham,MAD,8852.914063,3795.4
Mozambique,Metical,MZN,1347.720024,491.8
Myanmar,Kyat,MMK,4430.222427,1209.9
Namibia,Namibian Dollar,NAD,10038.73827,4865.6
Nauru,Australian Dollar,AUD,13125.34837,10648.1
Nepal,Nepalese Rupee,NPR,4209.759393,1208.2
Netherlands,Euro,EUR,63768.20005,57767.9
New Zealand,New Zealand Dollar,NZD,46419.5087,48781
Nicaragua,Cordoba Oro,NIO,6194.70035,2045.5
Niger,CFA Franc BCEAO,XOF,1303.567363,590.6
Nigeria,Naira,NGN,5407.979457,2065.7
North Macedonia,Denar,MKD,18222.2861,6694.6
Norway,Norwegian Krone,NOK,79201.23025,89154.3
Oman,Rial Omani,OMR,37676.0574,19509.5
Pakistan,Pakistan Rupee,PKR,5748.005952,1505
Palau,US Dollar,USD,15144.56896,12083.9
Panama,Balboa,PAB,31900.94175,14617.6
Papua New Guinea,Kina,PGK,4040.039446,2672.9
Paraguay,Guarani,PYG,15037.18964,5891.5
Peru,Nuevo Sol,PEN,13748.53362,6621.6
Philippines,Philippine Peso,PHP,8892.789346,3460.5
Poland,Zloty,PLN,37836.76295,17999.9
Portugal,Euro,EUR,35798.75385,24567.5
Puerto Rico,US Dollar,USD,35850.32193,32640.7
Qatar,Qatari Rial,QAR,102018.1159,66838.4
Republic of Korea,Won,KRW,47242.52723,34997.8
Republic of Moldova,Moldovan Leu,MDL,15390.46583,5230.7
Romania,New Leu,RON,35869.63348,14858.2
Russian Federation,Russian Ruble,RUB,32862.62109,12194.8
Rwanda,Rwanda Franc,RWF,2459.707347,822.3
Saint Kitts and Nevis,East Caribbean Dollar,XCD,23899.89,18082.61
Saint Lucia,East Caribbean Dollar,XCD,9362.35,9414.23
