,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id
151,Namibia,Namibian Dollar,NAD,10038.73827,4865.6,-3.7462335440109182,1.7016148282961088,0.48468242413894513,0.6005938802204891,2.4371875319645113,151
156,North Macedonia,Denar,MKD,18222.2861,6694.6,-5.1539839590016605,0.5389940612789093,0.36738529750117355,0.792348795034053,2.4340319854210195,156
112,Georgia,Lari,GEL,15486.66,5023.3,-5.88538713176321,11.99042566780502,0.32436303244211473,0.8974428916779554,2.4274736708378,112
51,Benin,CFA Franc BCEAO,XOF,3649.04065,1319.2,-5.365212313336973,0.0507449687828329,0.3615196777816109,0.8052045730250119,2.414962679227622,51
162,Paraguay,Guarani,PYG,15037.18964,5891.5,-5.023428862543161,0.0042975289512868,0.39179528495990956,0.7429831571813541,2.4028127145112803,162
86,Cuba,Cuban Convertible Peso,CUC,21016.65,9499.6,-4.39738983292467,30.89178178943313,0.4520035305341241,0.6440155399766406,2.3919701531887676,86
119,Honduras,Lempira,HNL,6121.565844,2771.7,-4.394250915784326,1.2564456350441495,0.4527763109363036,0.6429163601477229,2.3912822762524186,119
52,Burkina Faso,CFA Franc BCEAO,XOF,2394.705365,893.1,-5.365212313336973,0.0507449687828329,0.3729477592747616,0.7805310276011659,2.3895345365296525,52
168,Republic of Moldova,Moldovan Leu,MDL,15390.46583,5230.7,-5.875355780491358,1.6719928974803813,0.3398662560170214,0.8565054418750622,2.3869189677196356,168
95,El Salvador,US Dollar,USD,9981.88602,4551.2,-4.39738983292467,30.89178178943313,0.4559458994904452,0.6384470133706777,2.3862313229265784,95
55,Mali,CFA Franc BCEAO,XOF,2329.706181,873.8,-5.365212313336973,0.0507449687828329,0.3750687563634875,0.7761171594526871,2.384985677936308,55
160,Panama,Balboa,PAB,31900.94175,14617.6,-4.39738983292467,30.89178178943313,0.45821844742248086,0.6352806165394036,2.3829680873809393,160
141,Malawi,Kwacha,MWK,1638.152251,634.8,-5.27240411790327,0.0302846469860623,0.3875097687730125,0.7511998954503645,2.3735865874044446,141
169,Romania,New Leu,RON,35869.63348,14858.2,-4.988244503802128,6.740771571057762,0.4142278177524328,0.7027468588849313,2.3666029079639235,169
