,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id,rank
123,Iran (Islamic Republic of),Iranian Rial,IRR,16484.07536,4091.2,1.8898412050740152,0.0031119605436182,0.2481910517060388,3.6887618196477545,2.85088954560817,123,14
130,Kenya,Kenyan Shilling,KES,5211.170533,2081.8,4.970959970038098,0.9938364568481264,0.3994879819834904,2.2917277034614103,2.8019080793212376,130,15
60,Bhutan,Ngultrum,BTN,11983.31697,3266.4,2.1999853117407926,1.587526010435429,0.2725789535716504,3.35872474200692,2.7883797095615437,60,16
0,Afghanistan,Afghan Afghani,AFN,1665.805842,368.8,0.5646239995663314,1.508242419296962,0.2213943490300234,4.135235065946981,2.785879437406888,0,17
150,Myanmar,Kyat,MMK,4430.222427,1209.9,2.116974710054238,0.0623804289977017,0.2731014119350446,3.3522993126421756,2.774180975783604,150,18
67,Burundi,Burundi Franc,BIF,774.5428909,221.5,2.3180862190449116,0.0629555002210344,0.2859751249444978,3.2013891966622685,2.753880904307467,67,19
186,Turkiye,New Turkish Lira,TRY,30737.0175,9661.2,2.9658431526610385,6.854987820046759,0.3143180694093043,2.9127109276026784,2.7499626088463263,186,20
137,Libya,Libyan Dinar,LYD,24130.82983,6357.2,1.6340757867159372,27.288622526299456,0.2634472185493009,3.4751464849500007,2.742278377287989,137,21
111,Gambia,Dalasi,GMD,2646.0,772.2,2.326773241783244,2.1260433624756283,0.29183673469387755,3.137088538465834,2.734058585400112,111,22
152,Nepal,Nepalese Rupee,NPR,4209.759393,1208.2,2.1999853114223575,0.9917388789226482,0.28699977533371585,3.189959554661385,2.7330781489251583,152,23
171,Rwanda,Rwanda Franc,RWF,2459.707347,822.3,3.2350536837416635,0.1189820630561956,0.33430806351939557,2.738544999104821,2.7292571092527615,171,24
118,Haiti,Gourde,HTG,3153.12702,1829.6,5.971547345000981,0.8377028553728071,0.5802493805022799,1.5778003497719553,2.6841994244697567,118,25
133,Lao People's DR,Kip,LAK,8620.647618,2535.6,1.9212516086350044,0.0077559036678699,0.29413103427469195,3.112618421136909,2.6667764986965707,133,26
196,Uganda,Uganda Shilling,UGX,2467.899337,883.9,3.1881950826073986,0.0346536515253533,0.3581588546777911,2.556177694769213,2.663220626275818,196,27
29,Angola,Kwanza,AOA,6491.125578,1953.5,2.053330485040005,0.2589485559588542,0.30094934638468335,3.042098899730498,2.6632021161306194,29,28
106,Eritrea,Nakfa,ERN,2102.95,643.8,2.1060770233498887,8.714516121020985,0.3061413728334007,2.9905062064566943,2.6540332649520084,106,29
121,India,Indian Rupee,INR,7241.98423,2256.6,2.1999853117407926,1.587526010435429,0.3115996843312651,2.9381213189489648,2.650554924423567,121,30
205,Yemen,Yemeni Rial,YER,2285.0,701.7,2.095775196944515,0.5224483064792912,0.30708971553610503,2.9812710396803204,2.6494987241231027,205,31
49,Belarus,Belarussian Ruble,BYN,21698.57409,7302.3,2.5726954981287617,51.76947508586291,0.3365336344089696,2.720434399133142,2.6324850812647793,49,32
147,Mongolia,Tugrik,MNT,12818.87945,4566.1,2.8312095162231876,0.0370269795600424,0.35620118106345094,2.5702263894188895,2.6192702309727522,147,33
154,Nicaragua,Cordoba Oro,NIO,6194.70035,2045.5,2.3374598064159517,3.579282043609871,0.33020160531251525,2.772602133914453,2.6161563575736007,154,34
122,Indonesia,Rupiah,IDR,13027.30061,4332.7,2.302872295911217,0.0085221609821535,0.33258616882411834,2.752723237855424,2.604672714730992,122,35
44,Azerbaijan,Azerbaijanian Manat,AZN,15854.55084,5388.0,2.334798181754791,76.67290135293601,0.33983933410503353,2.69397207336953,2.590008669258798,44,36
155,Nigeria,Naira,NGN,5407.979457,2065.7,2.8046138849477673,0.2838948790809951,0.3819726048193825,2.3968150175177207,2.558775689413679,155,37
192,Tunisia,Tunisian Dinar,TND,11282.48463,3807.1,2.0417822149657217,41.96396222493105,0.3374345390089842,2.71317120707398,2.553719174095543,192,38
38,Armenia,Armenian Dram,AMD,15592.48736,4966.5,1.6029676575076937,0.3372646112327025,0.31851877672453666,2.8742973488913695,2.540630043188844,38,39
108,Ethiopia,Ethiopian Birr,ETB,2547.716814,925.1,2.3713841659876502,2.4306286325748774,0.3631094299478137,2.5213271812936293,2.538678075194147,108,40
2,Algeria,Algerian Dinar,DZD,11039.81,3690.6,1.83557103349779,0.958186925099605,0.3342992315990946,2.738617349289586,2.531426004764537,2,41
136,Liberia,Liberian Dollar,LRD,1563.552927,675.7,3.210752447971457,0.8153156373544561,0.43215678109245104,2.118485039612514,2.522820724689869,136,42
204,Viet Nam,Dong,VND,11676.10856,3756.5,1.5381248302197936,0.0055594077503732,0.3217253403132113,2.8456498783097657,2.5212749735035156,204,43
69,Cambodia,Riel,KHR,4783.903614,1625.2,1.8502829574922643,0.0322616631492972,0.3397225636494607,2.6948980535073477,2.519304280351177,69,44
107,Eswatini,Lilangeni,SZL,9730.068125,3978.4,2.8883538462846,7.198963868000364,0.40887689057161664,2.2391034969757007,2.5186277786991322,107,45
179,Somalia,Somali Shilling,SOS,1248.812487,447.0,2.1494943595319693,0.2297619740036013,0.35794004676700514,2.5577402801966946,2.5185650487504647,179,46
47,Bangladesh,Taka,BDT,6493.809393,2457.9,2.4369301828927012,1.2376918960474976,0.3784989443406659,2.4188117013278934,2.5144374033622476,47,47
149,Mozambique,Metical,MZN,1347.720024,491.8,2.17827444547153,2.046369144318151,0.3649125866219229,2.508868449802208,2.5067413398704272,149,48
61,Bolivia (Plurinational State of),Boliviano,BOB,8846.081965,3345.2,2.3694313123591337,18.87803978965873,0.37815611625977064,2.4210045432203238,2.5055245937144126,61,49
129,Kazakhstan,Tenge,KZT,28684.89806,10373.8,2.077837806936618,0.2859833673560656,0.3616467445099925,2.5315247251898363,2.4994947630895537,129,50
135,Lesotho,Loti,LSL,2521.530663,1094.1,2.8883538462846,7.198963868000364,0.4339031113340857,2.109958770972146,2.476309187985499,135,51
145,Mauritius,Mauritius Rupee,MUR,23035.283,9106.2,2.3711945210126766,2.841690317244152,0.395315308259942,2.315917588775625,2.4713416169034876,145,52
197,Ukraine,Hryvnia,UAH,14219.79004,4835.6,1.5207418919073392,3.5744118743143978,0.34006127983588713,2.692213814972656,2.4683137265231863,197,53
176,Seychelles,Seychelles Rupee,SCR,31596.15966,14653.3,3.037952363636462,9.43696066290882,0.46376838697111455,1.974083834154224,2.452202600791866,176,54
194,U.R. of Tanzania: Mainland,Tanzanian Shilling,TZS,2836.242432,1099.3,2.097498025685844,0.0559213696091323,0.38759028057584605,2.3620759378983025,2.446851071070557,194,55
172,Samoa,Tala,WST,6079.764271,3857.3,4.258466199762349,46.88890584429082,0.634448940462876,1.4430123799143266,2.4368423519034375,172,56
109,Fiji,Fiji Dollar,FJD,11380.5695,4646.6,2.2713147487194822,58.92978610335553,0.40829239696660174,2.242308899977745,2.432871388072496,109,57
140,Madagascar,Malagasy Ariary,MGA,1607.935225,500.5,0.7556389046546685,0.0308056486327275,0.31126875773245155,2.94124499413585,2.426970436186162,140,58
195,Zanzibar,Tanzanian Shilling,TZS,2581.7,1039.56,2.097498025685844,0.0559213696091323,0.40266491071774413,2.273646526287978,2.417874215469952,195,59
128,Jordan,Jordanian Dinar,JOD,10132.50388,4103.3,2.106077024214971,184.3691704024186,0.40496406896021836,2.260738039950388,2.414900306963318,128,60
63,Botswana,Pula,BWP,16304.15336,6805.2,2.2570831801243454,9.94408240806594,0.4173905783231666,2.1934315795758423,2.4148005452658055,63,61
82,Colombia,Colombian Peso,COP,16819.17629,6104.1,1.5233996478039615,0.0275863158097741,0.3629250264550263,2.52260827657447,2.4131472739541104,82,62
117,Guyana,Guyana Dollar,GYD,24086.90092,9998.5,2.2170729527552147,0.6218599075424833,0.41510113871469356,2.205529183432834,2.412975237375521,117,63
180,South Africa,Rand,ZAR,14624.41517,7055.0,2.8883538462846,7.198963868000364,0.48241245328376436,1.897790302218696,2.4067850899494054,180,64
